Percentage served,Time in ms
0,538.244
1,544.256
2,582.882
3,593.516
4,637.420
5,663.880
6,735.855
7,743.172
8,750.273
9,824.160
10,827.769
11,830.441
12,832.051
13,839.636
14,843.911
15,851.964
16,888.255
17,894.734
18,899.765
19,902.790
20,903.953
21,905.249
22,908.434
23,911.201
24,919.847
25,934.262
26,934.450
27,936.431
28,939.982
29,943.222
30,950.220
31,963.764
32,967.374
33,979.872
34,983.669
35,983.935
36,987.270
37,991.105
38,998.557
39,1002.459
40,1008.695
41,1016.144
42,1016.584
43,1038.725
44,1044.396
45,1063.586
46,1086.336
47,1103.261
48,1114.218
49,1118.148
50,1139.769
51,1143.310
52,1143.990
53,1152.025
54,1156.943
55,1164.368
56,1197.904
57,1200.353
58,1201.859
59,1203.860
60,1219.779
61,1243.910
62,1257.104
63,1269.502
64,1283.493
65,1296.538
66,1298.974
67,1308.193
68,1312.965
69,1352.493
70,1430.550
71,1442.982
72,1460.678
73,1468.591
74,1478.101
75,1486.791
76,1501.151
77,1503.717
78,1504.865
79,1591.479
80,1593.401
81,1636.359
82,1670.414
83,1683.932
84,1748.620
85,1754.883
86,1769.897
87,1778.130
88,1910.763
89,1959.073
90,2136.955
91,2145.134
92,2261.701
93,3374.582
94,3557.099
95,3610.387
96,3625.257
97,4285.001
98,4414.618
99,5018.669
100,5018.669
