Percentage served,Time in ms
0,499.090
1,557.925
2,589.934
3,680.230
4,860.376
5,876.196
6,889.568
7,894.731
8,908.051
9,927.981
10,932.084
11,932.582
12,939.438
13,950.274
14,954.763
15,959.086
16,988.695
17,988.997
18,1000.646
19,1011.998
20,1020.111
21,1020.465
22,1030.413
23,1034.810
24,1036.793
25,1038.987
26,1039.917
27,1040.784
28,1052.016
29,1055.953
30,1067.248
31,1087.799
32,1093.349
33,1103.711
34,1106.165
35,1113.676
36,1115.929
37,1115.980
38,1117.595
39,1125.646
40,1131.837
41,1139.906
42,1151.980
43,1167.881
44,1171.411
45,1175.720
46,1179.710
47,1182.945
48,1183.586
49,1188.405
50,1192.434
51,1202.829
52,1227.419
53,1233.348
54,1237.408
55,1262.044
56,1271.731
57,1294.968
58,1304.647
59,1315.571
60,1331.603
61,1335.961
62,1339.486
63,1356.147
64,1362.806
65,1368.654
66,1374.999
67,1410.018
68,1415.621
69,1421.329
70,1448.037
71,1463.909
72,1467.270
73,1472.062
74,1475.994
75,1492.266
76,1508.419
77,1516.133
78,1516.359
79,1521.202
80,1525.101
81,1527.856
82,1534.996
83,1540.858
84,1562.873
85,1569.283
86,1666.102
87,1674.357
88,1684.642
89,1689.646
90,1720.934
91,1721.497
92,1725.280
93,1727.384
94,1728.000
95,1746.083
96,1748.475
97,1791.423
98,1889.371
99,1934.715
100,1934.715
