Percentage served,Time in ms
0,573.977
1,891.576
2,930.596
3,940.902
4,1060.197
5,1072.385
6,1087.918
7,1115.671
8,1119.916
9,1135.656
10,1160.014
11,1172.025
12,1179.918
13,1184.036
14,1185.026
15,1195.944
16,1197.810
17,1251.944
18,1252.282
19,1255.233
20,1256.498
21,1267.511
22,1283.953
23,1291.979
24,1292.673
25,1307.717
26,1308.239
27,1312.562
28,1323.980
29,1327.229
30,1327.941
31,1328.198
32,1335.844
33,1335.880
34,1355.896
35,1359.221
36,1359.645
37,1360.096
38,1364.281
39,1367.894
40,1369.974
41,1371.867
42,1374.073
43,1375.870
44,1376.395
45,1383.727
46,1394.050
47,1399.015
48,1400.529
49,1407.615
50,1409.210
51,1416.202
52,1420.856
53,1439.958
54,1443.940
55,1455.924
56,1455.976
57,1460.055
58,1468.735
59,1470.642
60,1482.990
61,1500.311
62,1500.902
63,1504.615
64,1516.600
65,1521.826
66,1538.123
67,1545.011
68,1546.426
69,1563.391
70,1583.799
71,1599.862
72,1615.147
73,1626.561
74,1627.194
75,1656.186
76,1656.647
77,1675.891
78,1676.777
79,1683.726
80,1699.802
81,1700.973
82,1721.236
83,1767.977
84,1812.397
85,1816.365
86,1816.742
87,1823.321
88,1823.732
89,1837.183
90,1867.619
91,1875.981
92,1883.711
93,1886.935
94,1971.712
95,1992.116
96,2055.320
97,2138.499
98,2181.271
99,2495.955
100,2495.955
