Percentage served,Time in ms
0,1053.690
1,1774.649
2,1983.126
3,1992.851
4,2004.053
5,2103.960
6,2193.766
7,2215.987
8,2251.028
9,2261.068
10,2263.924
11,2284.351
12,2289.444
13,2302.598
14,2316.025
15,2316.066
16,2317.100
17,2317.845
18,2329.926
19,2348.131
20,2351.919
21,2360.187
22,2363.589
23,2371.814
24,2374.407
25,2376.301
26,2378.165
27,2388.984
28,2391.329
29,2403.639
30,2414.290
31,2414.401
32,2415.115
33,2425.918
34,2430.716
35,2431.104
36,2431.854
37,2431.911
38,2433.672
39,2444.083
40,2447.893
41,2448.267
42,2452.141
43,2453.505
44,2453.507
45,2456.997
46,2458.488
47,2459.306
48,2464.818
49,2465.406
50,2479.972
51,2480.647
52,2483.834
53,2491.635
54,2491.660
55,2491.792
56,2502.824
57,2509.999
58,2531.758
59,2532.420
60,2535.945
61,2540.021
62,2542.741
63,2543.660
64,2560.829
65,2580.225
66,2595.993
67,2596.086
68,2607.696
69,2610.184
70,2627.922
71,2631.669
72,2637.455
73,2639.007
74,2639.872
75,2660.013
76,2660.259
77,2690.691
78,2690.743
79,2716.452
80,2722.683
81,2729.612
82,2759.253
83,2781.958
84,2811.876
85,2828.088
86,2979.522
87,3019.905
88,3035.648
89,3057.206
90,3095.752
91,3111.850
92,3134.336
93,3186.171
94,3272.874
95,3280.074
96,3473.792
97,3598.354
98,3779.541
99,3942.733
100,3942.733
