Percentage served,Time in ms
0,472.654
1,496.943
2,517.863
3,542.946
4,549.917
5,594.085
6,598.928
7,867.152
8,897.345
9,915.923
10,919.990
11,949.806
12,961.157
13,972.042
14,974.425
15,976.687
16,989.625
17,989.796
18,997.514
19,1018.942
20,1026.552
21,1037.560
22,1040.834
23,1063.820
24,1063.979
25,1071.812
26,1094.665
27,1096.374
28,1124.579
29,1134.983
30,1157.286
31,1183.612
32,1192.513
33,1197.448
34,1216.026
35,1221.381
36,1225.129
37,1252.329
38,1271.981
39,1286.799
40,1287.656
41,1292.236
42,1303.893
43,1322.812
44,1325.359
45,1326.273
46,1329.252
47,1332.984
48,1339.162
49,1342.782
50,1365.573
51,1369.971
52,1373.226
53,1373.805
54,1380.911
55,1392.179
56,1398.476
57,1400.650
58,1408.546
59,1419.996
60,1422.478
61,1447.310
62,1490.935
63,1491.295
64,1524.302
65,1531.263
66,1543.593
67,1587.107
68,1589.867
69,1611.986
70,1627.910
71,1667.000
72,1667.754
73,1672.422
74,1699.443
75,1722.710
76,1740.171
77,1756.358
78,1766.746
79,1785.512
80,1801.619
81,1843.884
82,1867.884
83,1880.955
84,1911.900
85,1927.099
86,1939.968
87,1951.119
88,1988.081
89,2047.044
90,2119.774
91,2187.443
92,2246.453
93,2278.362
94,2326.578
95,2377.233
96,2426.222
97,3396.592
98,3752.258
99,5677.587
100,5677.587
