Percentage served,Time in ms
0,5.120
1,9.083
2,9.166
3,9.170
4,9.231
5,9.232
6,9.235
7,9.264
8,9.270
9,9.288
10,9.298
11,9.309
12,9.323
13,9.348
14,9.357
15,9.363
16,9.376
17,9.415
18,9.427
19,9.439
20,9.442
21,9.443
22,9.454
23,9.478
24,9.483
25,9.491
26,9.502
27,9.531
28,9.542
29,9.552
30,9.552
31,9.561
32,9.584
33,9.591
34,9.604
35,9.606
36,9.689
37,9.719
38,9.747
39,9.757
40,9.842
41,9.870
42,9.884
43,9.927
44,10.042
45,10.082
46,10.150
47,10.152
48,10.176
49,10.184
50,10.193
51,10.214
52,10.234
53,10.246
54,10.251
55,10.266
56,10.269
57,10.269
58,10.277
59,10.277
60,10.290
61,10.296
62,10.319
63,10.320
64,10.356
65,10.356
66,10.379
67,10.384
68,10.393
69,10.394
70,10.404
71,10.425
72,10.438
73,10.441
74,10.455
75,10.495
76,10.509
77,10.523
78,10.546
79,10.572
80,10.655
81,10.658
82,10.665
83,10.676
84,10.731
85,10.776
86,10.782
87,10.791
88,10.936
89,10.960
90,11.075
91,11.372
92,11.518
93,12.215
94,13.494
95,13.879
96,15.307
97,15.382
98,18.169
99,18.556
100,18.556
