Percentage served,Time in ms
0,5.884
1,10.453
2,10.459
3,10.460
4,10.500
5,10.514
6,10.516
7,10.582
8,10.600
9,10.609
10,10.616
11,10.620
12,10.634
13,10.659
14,10.681
15,10.687
16,10.696
17,10.763
18,10.765
19,10.770
20,10.784
21,10.788
22,10.793
23,10.844
24,10.847
25,10.850
26,10.868
27,10.872
28,10.881
29,10.893
30,10.914
31,10.918
32,10.921
33,10.923
34,10.935
35,10.971
36,10.988
37,10.999
38,11.070
39,11.103
40,11.108
41,11.161
42,11.177
43,11.187
44,11.227
45,11.264
46,11.265
47,11.299
48,11.322
49,11.342
50,11.393
51,11.395
52,11.399
53,11.452
54,11.453
55,11.469
56,11.478
57,11.520
58,11.551
59,11.566
60,11.574
61,11.581
62,11.617
63,11.618
64,11.632
65,11.641
66,11.668
67,11.669
68,11.679
69,11.694
70,11.702
71,11.703
72,11.719
73,11.720
74,11.730
75,11.750
76,11.768
77,11.773
78,11.784
79,11.785
80,11.798
81,11.805
82,11.813
83,11.856
84,11.869
85,11.886
86,11.918
87,11.960
88,12.037
89,12.038
90,12.058
91,12.059
92,12.189
93,12.333
94,12.395
95,12.441
96,12.592
97,13.420
98,14.006
99,19.705
100,19.705
