Percentage served,Time in ms
0,4.955
1,4.964
2,4.982
3,4.991
4,5.690
5,6.580
6,9.802
7,9.803
8,9.808
9,9.809
10,9.821
11,9.850
12,9.856
13,9.856
14,9.862
15,9.862
16,9.863
17,9.890
18,9.891
19,9.896
20,9.901
21,9.907
22,9.909
23,9.916
24,9.922
25,9.934
26,9.940
27,9.941
28,9.942
29,9.943
30,9.944
31,9.949
32,9.958
33,9.959
34,9.966
35,9.966
36,9.983
37,9.989
38,10.008
39,10.016
40,10.018
41,10.024
42,10.048
43,10.058
44,10.058
45,10.060
46,10.066
47,10.106
48,10.156
49,10.235
50,10.279
51,10.356
52,10.408
53,10.409
54,10.415
55,10.440
56,10.460
57,10.461
58,10.473
59,10.475
60,10.483
61,10.498
62,10.502
63,10.504
64,10.510
65,10.514
66,10.516
67,10.516
68,10.519
69,10.522
70,10.540
71,10.543
72,10.545
73,10.555
74,10.559
75,10.570
76,10.573
77,10.575
78,10.575
79,10.576
80,10.581
81,10.611
82,10.619
83,10.641
84,10.643
85,10.646
86,10.676
87,10.678
88,10.684
89,10.691
90,10.701
91,10.769
92,10.778
93,10.838
94,10.853
95,15.514
96,15.578
97,15.656
98,15.800
99,17.878
100,17.878
