Percentage served,Time in ms
0,7.029
1,12.052
2,12.081
3,12.082
4,12.082
5,12.132
6,12.153
7,12.175
8,12.178
9,12.185
10,12.191
11,12.204
12,12.248
13,12.252
14,12.276
15,12.276
16,12.286
17,12.287
18,12.290
19,12.311
20,12.313
21,12.316
22,12.337
23,12.337
24,12.340
25,12.342
26,12.343
27,12.404
28,12.406
29,12.419
30,12.467
31,12.468
32,12.491
33,12.498
34,12.514
35,12.523
36,12.534
37,12.558
38,12.604
39,12.604
40,12.628
41,12.642
42,12.667
43,12.707
44,12.750
45,12.849
46,12.870
47,12.880
48,12.896
49,12.899
50,12.910
51,12.926
52,12.942
53,12.949
54,12.959
55,13.013
56,13.030
57,13.040
58,13.041
59,13.046
60,13.051
61,13.057
62,13.097
63,13.109
64,13.143
65,13.156
66,13.163
67,13.167
68,13.171
69,13.172
70,13.190
71,13.205
72,13.222
73,13.225
74,13.258
75,13.271
76,13.295
77,13.307
78,13.308
79,13.367
80,13.372
81,13.418
82,13.422
83,13.426
84,13.451
85,13.461
86,13.528
87,13.590
88,13.641
89,13.918
90,14.088
91,14.471
92,15.163
93,15.231
94,15.320
95,15.750
96,16.665
97,16.733
98,17.368
99,17.386
100,17.386
