Percentage served,Time in ms
0,13.583
1,13.762
2,13.994
3,13.999
4,14.002
5,14.017
6,14.027
7,14.029
8,14.033
9,14.055
10,14.071
11,14.076
12,14.078
13,14.082
14,14.138
15,14.141
16,14.145
17,14.159
18,14.183
19,14.185
20,14.200
21,14.209
22,14.217
23,14.229
24,14.230
25,14.244
26,14.254
27,14.267
28,14.289
29,14.289
30,14.292
31,14.293
32,14.335
33,14.339
34,14.383
35,14.401
36,14.428
37,14.431
38,14.457
39,14.460
40,14.501
41,14.606
42,14.651
43,15.123
44,15.136
45,15.186
46,15.248
47,15.460
48,15.487
49,15.595
50,15.686
51,15.740
52,15.755
53,15.759
54,15.769
55,15.797
56,15.810
57,15.838
58,15.863
59,15.910
60,15.941
61,15.961
62,15.961
63,15.963
64,15.974
65,15.976
66,15.977
67,15.981
68,15.991
69,15.994
70,16.014
71,16.041
72,16.046
73,16.054
74,16.064
75,16.073
76,16.075
77,16.116
78,16.136
79,16.164
80,16.174
81,16.193
82,16.200
83,16.211
84,16.214
85,16.254
86,16.284
87,16.311
88,16.370
89,16.393
90,16.438
91,16.445
92,16.450
93,16.478
94,16.481
95,16.501
96,16.982
97,17.045
98,18.065
99,19.150
100,19.150
