Percentage served,Time in ms
0,0.616
1,0.641
2,0.661
3,0.662
4,0.686
5,0.689
6,0.698
7,0.699
8,0.703
9,0.705
10,0.706
11,0.711
12,0.712
13,0.714
14,0.728
15,0.740
16,0.742
17,0.747
18,0.752
19,0.762
20,0.769
21,0.776
22,0.782
23,0.783
24,0.788
25,0.794
26,0.808
27,0.821
28,0.881
29,0.893
30,0.895
31,0.948
32,0.953
33,0.992
34,1.001
35,1.002
36,1.004
37,1.009
38,1.010
39,1.017
40,1.018
41,1.021
42,1.025
43,1.026
44,1.031
45,1.041
46,1.041
47,1.044
48,1.046
49,1.054
50,1.068
51,1.069
52,1.090
53,1.113
54,1.116
55,1.225
56,1.571
57,1.660
58,1.690
59,1.714
60,1.734
61,1.790
62,1.797
63,1.797
64,1.837
65,1.876
66,1.878
67,1.880
68,1.889
69,1.920
70,1.982
71,1.997
72,2.006
73,2.028
74,2.034
75,2.072
76,2.135
77,2.472
78,2.629
79,2.734
80,2.743
81,2.745
82,2.747
83,2.771
84,2.793
85,2.855
86,2.889
87,2.949
88,3.007
89,3.020
90,3.480
91,3.498
92,3.917
93,3.987
94,4.218
95,4.524
96,5.470
97,12.565
98,16.018
99,33.705
100,33.705
