Percentage served,Time in ms
0,1.041
1,1.074
2,1.116
3,1.123
4,1.136
5,1.138
6,1.140
7,1.140
8,1.141
9,1.146
10,1.148
11,1.156
12,1.164
13,1.211
14,1.245
15,1.316
16,1.319
17,1.349
18,1.350
19,1.373
20,1.397
21,1.429
22,1.489
23,1.491
24,1.492
25,1.519
26,1.528
27,1.534
28,1.551
29,1.552
30,1.562
31,1.565
32,1.567
33,1.588
34,1.592
35,1.599
36,1.606
37,1.609
38,1.615
39,1.621
40,1.626
41,1.633
42,1.680
43,1.684
44,2.314
45,2.347
46,2.379
47,2.596
48,2.626
49,2.667
50,2.756
51,2.770
52,2.799
53,2.800
54,2.841
55,2.851
56,2.853
57,2.864
58,2.871
59,2.890
60,2.902
61,2.913
62,2.928
63,2.936
64,2.942
65,2.980
66,3.038
67,3.076
68,3.125
69,3.145
70,3.180
71,3.193
72,3.267
73,3.270
74,3.278
75,3.295
76,3.422
77,3.669
78,3.674
79,3.723
80,3.843
81,3.988
82,4.161
83,4.167
84,4.379
85,4.428
86,4.451
87,4.493
88,5.322
89,5.359
90,5.379
91,5.937
92,5.989
93,6.126
94,6.378
95,6.545
96,15.900
97,18.492
98,33.227
99,38.913
100,38.913
