Percentage served,Time in ms
0,0.920
1,0.931
2,0.932
3,0.944
4,0.947
5,0.948
6,0.948
7,0.950
8,0.954
9,0.955
10,0.958
11,0.959
12,0.959
13,0.959
14,0.960
15,0.960
16,0.960
17,0.967
18,0.967
19,0.967
20,0.967
21,0.968
22,0.968
23,0.973
24,0.973
25,0.974
26,0.974
27,0.982
28,0.984
29,0.986
30,0.988
31,0.990
32,0.991
33,0.993
34,0.994
35,0.995
36,0.995
37,0.996
38,0.997
39,0.997
40,0.998
41,0.998
42,0.999
43,1.003
44,1.003
45,1.006
46,1.007
47,1.007
48,1.007
49,1.010
50,1.010
51,1.010
52,1.011
53,1.011
54,1.015
55,1.016
56,1.016
57,1.017
58,1.020
59,1.022
60,1.023
61,1.025
62,1.028
63,1.029
64,1.038
65,1.041
66,1.045
67,1.047
68,1.048
69,1.049
70,1.057
71,1.067
72,1.070
73,1.085
74,1.091
75,1.106
76,1.170
77,1.342
78,1.412
79,1.429
80,1.450
81,1.509
82,1.561
83,1.566
84,1.572
85,1.665
86,1.719
87,1.816
88,1.843
89,2.054
90,2.135
91,2.231
92,2.323
93,2.338
94,2.338
95,2.385
96,2.614
97,2.823
98,2.948
99,103.421
100,103.421
