Percentage served,Time in ms
0,3.158
1,3.163
2,3.169
3,3.177
4,3.180
5,3.180
6,3.186
7,3.250
8,3.251
9,3.252
10,3.252
11,3.259
12,3.264
13,3.265
14,3.265
15,3.267
16,3.271
17,3.273
18,3.275
19,3.278
20,3.281
21,3.284
22,3.291
23,3.292
24,3.293
25,3.293
26,3.295
27,3.297
28,3.298
29,3.300
30,3.300
31,3.302
32,3.304
33,3.306
34,3.309
35,3.313
36,3.314
37,3.320
38,3.320
39,3.324
40,3.330
41,3.330
42,3.332
43,3.352
44,3.352
45,3.362
46,3.364
47,3.365
48,3.365
49,3.383
50,3.385
51,3.386
52,3.392
53,3.394
54,3.404
55,3.407
56,3.407
57,3.409
58,3.411
59,3.411
60,3.413
61,3.423
62,3.425
63,3.426
64,3.428
65,3.428
66,3.431
67,3.433
68,3.434
69,3.437
70,3.438
71,3.443
72,3.444
73,3.446
74,3.448
75,3.452
76,3.454
77,3.456
78,3.459
79,3.459
80,3.460
81,3.464
82,3.469
83,3.469
84,3.513
85,3.532
86,3.544
87,3.545
88,3.548
89,3.572
90,3.637
91,3.879
92,4.001
93,4.035
94,4.152
95,4.747
96,5.112
97,5.285
98,139.584
99,142.422
100,142.422
