Percentage served,Time in ms
0,6.174
1,6.282
2,6.362
3,6.399
4,6.580
5,6.581
6,6.632
7,6.715
8,6.785
9,6.823
10,6.841
11,6.854
12,6.918
13,6.965
14,6.969
15,6.972
16,6.973
17,6.977
18,6.987
19,6.991
20,6.995
21,7.008
22,7.011
23,7.011
24,7.015
25,7.022
26,7.026
27,7.026
28,7.030
29,7.032
30,7.034
31,7.050
32,7.059
33,7.072
34,7.074
35,7.075
36,7.082
37,7.087
38,7.095
39,7.097
40,7.111
41,7.117
42,7.124
43,7.135
44,7.139
45,7.146
46,7.161
47,7.162
48,7.168
49,7.169
50,7.176
51,7.180
52,7.217
53,7.226
54,7.234
55,7.252
56,7.270
57,7.280
58,7.295
59,7.297
60,7.303
61,7.306
62,7.320
63,7.324
64,7.331
65,7.333
66,7.333
67,7.334
68,7.382
69,7.388
70,7.391
71,7.408
72,7.409
73,7.410
74,7.413
75,7.585
76,7.601
77,7.602
78,7.603
79,7.603
80,7.603
81,7.612
82,7.620
83,7.670
84,7.674
85,7.686
86,7.700
87,8.058
88,8.297
89,8.330
90,8.417
91,8.584
92,8.601
93,10.102
94,10.361
95,10.698
96,10.786
97,10.830
98,118.547
99,120.562
100,120.562
